sequence,numInputPointsT,numOutputPointsT,numBitsTotalDecT,numBitsGeoEncT,numBitsRgbEncT,numBitsRefEncT,d1T,d2T,lumaT,cbT,crT,refT,encTimeT,decTimeT,bppGeo,bppRgb,bppRef,bppTotal
facade_00064_vox11,4061755,2360279,4196872,2725936,1470112.0,,74.0031,79.0754,33.1923,44.4482,46.2194,,,,0.6711227,0.3619401,,1.03326567
facade_00064_vox11,4061755,3160036,7973072,3715744,4256504.0,,75.7348,80.677,36.1964,45.8338,47.5023,,,,0.91481244,1.04794701,,1.96296232
dancer_vox11_00000001,2592758,11561,16840,15368,968.0,,52.8974,55.2628,20.3851,36.1725,35.7137,,,,0.00592728,0.00037335,,0.00649501
dancer_vox11_00000001,2592758,46147,56104,50928,4664.0,,58.8084,61.653,24.5185,38.9434,38.9087,,,,0.0196424,0.00179886,,0.02163873
dancer_vox11_00000001,2592758,181981,197088,169920,26648.0,,64.4619,68.2819,29.5854,41.5,42.3583,,,,0.06553639,0.01027786,,0.07601481
dancer_vox11_00000001,2592758,702517,722648,595392,126728.0,,69.2323,74.5556,34.7356,43.7781,46.3514,,,,0.22963655,0.04887768,,0.27871787
dancer_vox11_00000001,2592758,1519232,1865272,1442824,421832.0,,74.0043,79.204,38.1414,45.4165,48.7082,,,,0.55648232,0.16269625,,0.71941616
dancer_vox11_00000001,2592758,2025851,2933760,1896984,1036000.0,,75.7103,80.6444,40.6145,46.8148,50.1795,,,,0.73164715,0.39957451,,1.13152095
thaidancer_viewdep_vox12,3130215,4537,7872,7096,272.0,,52.9468,55.0892,20.6105,26.0968,25.7652,,,,0.00226694,8.689e-05,,0.00251484
thaidancer_viewdep_vox12,3130215,18336,25752,23584,1656.0,,58.9081,61.2017,22.7622,29.2074,29.0658,,,,0.00753431,0.00052904,,0.00822691
thaidancer_viewdep_vox12,3130215,72738,96200,80080,15600.0,,64.8378,67.6001,24.7075,31.9477,32.1401,,,,0.02558291,0.00498368,,0.03073271
thaidancer_viewdep_vox12,3130215,278693,442152,276864,164760.0,,70.4869,74.1495,28.7142,35.8407,36.018,,,,0.08844888,0.05263536,,0.14125292
thaidancer_viewdep_vox12,3130215,1007721,1879840,989088,890216.0,,75.2553,80.0408,34.4879,41.7554,41.8236,,,,0.31598085,0.28439452,,0.60054661
thaidancer_viewdep_vox12,3130215,2013773,4726888,2346072,2380200.0,,80.0293,85.0788,38.3423,45.6203,45.7175,,,,0.74949229,0.76039505,,1.51008413
soldier_viewdep_vox12,4001754,22243,30808,29664,648.0,,52.9259,54.843,21.8313,40.0887,39.8454,,,,0.00741275,0.00016193,,0.00769862
soldier_viewdep_vox12,4001754,87587,106216,101272,4448.0,,58.9173,61.1307,24.3982,40.456,40.4789,,,,0.0253069,0.00111151,,0.02654236
